#depth variance  VR       nsta
  8  4.818e-10  3.705e+01   4
#mxx        mxy        mxz        myy        myz        mzz
 1.356e+21 -5.250e+21 -1.039e+21 -7.134e+20  7.712e+20 -6.422e+20
#st1 rk1 dp1 st2 rk2 dp2
276   9  83 185 173  82
#pdc pclvd piso
 70  30   0

#filename
TD002.data
#dt   npts  dist   Az   Zcor VR
1.000  150 206.0 123.0   15  6.493e+01
#data T          R          Z    synth T          R          Z
-9.189e-07  4.782e-05  6.680e-06 -5.529e-07 -2.020e-07  2.891e-08
 6.411e-07  4.270e-05  7.130e-06 -3.527e-07 -2.104e-07  2.594e-08
 1.250e-06  3.578e-05  5.080e-06 -1.062e-07 -2.118e-07  2.489e-08
-5.269e-07  3.055e-05  2.726e-06  1.686e-07 -2.130e-07  2.545e-08
-4.146e-06  2.866e-05  2.116e-06  4.373e-07 -2.122e-07  2.247e-08
-8.457e-06  2.832e-05  2.797e-06  6.742e-07 -2.086e-07  2.368e-08
-1.270e-05  2.755e-05  4.318e-06  8.528e-07 -2.065e-07  2.807e-08
-1.473e-05  2.628e-05  7.139e-06  9.474e-07 -2.023e-07  3.249e-08
-1.255e-05  2.514e-05  1.064e-05  9.421e-07 -1.950e-07  4.069e-08
-6.984e-06  2.301e-05  1.224e-05  8.329e-07 -1.850e-07  4.771e-08
